date,RawTrend,TrendScore,TrendVolatility
2025-04-30,78,0.08333333333333348,0.0
2025-05-01,81,0.20833333333333348,0.0
2025-05-02,77,0.04166666666666652,0.08673608331108898
2025-05-03,79,0.125,0.08333333333333348
2025-05-04,86,0.4166666666666665,0.19690898442719199
2025-05-05,85,0.375,0.15774745405000754
2025-05-06,86,0.4166666666666665,0.024056261216234137
2025-05-07,82,0.25,0.08673608331108874
2025-05-08,82,0.25,0.09622504486493749
2025-05-09,81,0.20833333333333348,0.02405626121623414
2025-05-10,84,0.3333333333333335,0.06364688465216439
2025-05-11,80,0.16666666666666652,0.08673608331108892
2025-05-12,83,0.2916666666666665,0.08673608331108892
2025-05-13,78,0.08333333333333348,0.10485881160098245
2025-05-14,79,0.125,0.11023963796102443
2025-05-15,78,0.08333333333333348,0.024056261216234096
2025-05-16,84,0.3333333333333335,0.13393959390267995
2025-05-17,90,0.5833333333333335,0.25
2025-05-18,93,0.7083333333333335,0.19094065395649332
2025-05-19,82,0.25,0.23692669596155533
2025-05-20,79,0.125,0.30712978315966644
2025-05-21,77,0.04166666666666652,0.10485881160098234
2025-05-22,79,0.125,0.04811252243246804
2025-05-23,81,0.20833333333333348,0.08333333333333301
2025-05-24,84,0.3333333333333335,0.1048588116009824
2025-05-25,88,0.5,0.1463285243451767
2025-05-26,91,0.625,0.14632852434517682
2025-05-27,84,0.3333333333333335,0.14632852434517682
2025-05-28,85,0.375,0.15774745405000748
2025-05-29,80,0.16666666666666652,0.11023963796102447
2025-05-30,96,0.8333333333333335,0.34105636549468554
2025-05-31,88,0.5,0.3333333333333335
2025-06-01,94,0.75,0.1734721666221779
2025-06-02,83,0.2916666666666665,0.22948210613692097
2025-06-03,80,0.16666666666666652,0.3071297831596664
2025-06-04,81,0.20833333333333348,0.0636468846521633
2025-06-05,77,0.04166666666666652,0.08673608331108795
2025-06-06,80,0.16666666666666652,0.08673608331108795
2025-06-07,87,0.4583333333333335,0.21381672664362
2025-06-08,90,0.5833333333333335,0.21381672664362017
2025-06-09,84,0.3333333333333335,0.12499999999999982
2025-06-10,85,0.375,0.13393959390267976
2025-06-11,88,0.5,0.08673608331108844
2025-06-12,89,0.5416666666666665,0.0867360833110886
2025-06-13,81,0.20833333333333348,0.18162078931419443
2025-06-14,87,0.4583333333333335,0.1734721666221774
2025-06-15,88,0.5,0.1577474540500073
2025-06-16,86,0.4166666666666665,0.04166666666666624
2025-06-17,79,0.125,0.19690898442719176
2025-06-18,82,0.25,0.14632852434517643
2025-06-19,80,0.16666666666666652,0.06364688465216319
2025-06-20,78,0.08333333333333348,0.08333333333333223
2025-06-21,81,0.20833333333333348,0.06364688465216302
2025-06-22,87,0.4583333333333335,0.190940653956493
2025-06-23,82,0.25,0.13393959390267962
2025-06-24,85,0.375,0.10485881160098247
2025-06-25,80,0.16666666666666652,0.10485881160098216
2025-06-26,77,0.04166666666666652,0.16839382851364046
2025-06-27,80,0.16666666666666652,0.07216878364870181
2025-06-28,84,0.3333333333333335,0.1463285243451765
2025-06-29,93,0.7083333333333335,0.2774303382699748
2025-06-30,84,0.3333333333333335,0.2165063509461097
2025-07-01,81,0.20833333333333348,0.2602082499332666
2025-07-02,76,0.0,0.16839382851364038
2025-07-03,77,0.04166666666666652,0.11023963796102354
2025-07-04,85,0.375,0.20553678592984315
2025-07-05,87,0.4583333333333335,0.22047927592204913
2025-07-06,84,0.3333333333333335,0.06364688465216424
2025-07-07,83,0.2916666666666665,0.0867360833110887
2025-07-08,82,0.25,0.04166666666666541
2025-07-09,77,0.04166666666666652,0.1339395939026792
2025-07-10,83,0.2916666666666665,0.1339395939026792
2025-07-11,82,0.25,0.1339395939026792
2025-07-12,79,0.125,0.0867360833110878
2025-07-13,84,0.3333333333333335,0.10485881160098194
2025-07-14,82,0.25,0.10485881160098194
2025-07-15,85,0.375,0.0636468846521638
2025-07-16,76,0.0,0.19094065395649285
2025-07-17,89,0.5416666666666665,0.2774303382699745
2025-07-18,94,0.75,0.3871488851323987
2025-07-19,100,0.9999999999999996,0.22948210613692138
2025-07-20,96,0.8333333333333335,0.1272937693043301
2025-07-21,92,0.6666666666666665,0.16666666666666757
2025-07-22,83,0.2916666666666665,0.2774303382699751
2025-07-23,89,0.5416666666666665,0.19094065395649348
2025-07-24,90,0.5833333333333335,0.1577474540500078
2025-07-25,86,0.4166666666666665,0.08673608331108937
2025-07-26,85,0.375,0.11023963796102478
2025-07-27,88,0.5,0.06364688465216432
2025-07-28,85,0.375,0.072168783648703
2025-07-29,90,0.5833333333333335,0.10485881160098291
2025-07-30,94,0.75,0.18788540636762097
2025-07-31,81,0.20833333333333348,0.27743033826997476
